Attribute,Accuracy_Facer,Accuracy_Swinface,ROC_AUC_Facer,ROC_AUC_Swinface,Precision_Facer,Precision_Swinface,Recall_Facer,Recall_Swinface,F1_Score_Facer,F1_Score_Swinface
5_o_Clock_Shadow,0.9381826081804356,0.9337536784310627,0.9726866830560859,0.9651995641791329,0.8887596899224807,0.6959282618955679,0.5084257206208426,0.719290465631929,0.6468265162200282,0.7074165340078942
Arched_Eyebrows,0.7775265143285999,0.8280568009005984,0.9167978169682179,0.8983051396548742,0.917262231995602,0.7508820172252776,0.18482073625521545,0.5343758077022487,0.3076521204671174,0.624393295510926
Attractive,0.8363320364189363,0.8163105089566093,0.9251138835412773,0.9087807084138058,0.8299198658218412,0.8358064808201124,0.8567264962197726,0.7991381466304996,0.8431101560946981,0.8170611173123921
Bags_Under_Eyes,0.837467659431596,0.8245956194576659,0.8960015618988304,0.8768526104883582,0.7812868562442669,0.5589029219947589,0.28729760986892827,0.6834521973785659,0.42011062960222667,0.614934368123828
Bald,0.9913297651729109,0.9900707048762665,0.9968440227100351,0.9955004507198064,0.869072708113804,0.7966457023060797,0.7237823606845107,0.750329091706889,0.7898012927938711,0.7727940345723647
Bangs,0.9614530049572413,0.9584510102107321,0.9903974015015345,0.9881584546233954,0.9097647437963261,0.8568865536795566,0.8277513520557763,0.8713755131296019,0.8668224697633953,0.8640702989968824
Big_Lips,0.7829725672980072,0.7621709162008966,0.7836397458379577,0.7546560848883368,0.8406808035714286,0.5095761381475667,0.12338499969286841,0.36554802514383994,0.21518738729087436,0.4257099935617712
Big_Nose,0.8405782789880117,0.8048604664941836,0.9063009305243581,0.8723515632778185,0.886543134872418,0.5655272513780619,0.36820303629252704,0.7291517725724379,0.5203090179765265,0.6369998897828724
Black_Hair,0.9168970829301049,0.8998775502142872,0.9696665904250648,0.9604066657874174,0.8099610407408132,0.7571350464734827,0.853101286704058,0.8566479709666777,0.8309716294250564,0.8038233074705415
Blond_Hair,0.9601297572729248,0.9506102739320206,0.9884888585734214,0.9848920360843342,0.9000802568218299,0.9093550499263382,0.8221866773301343,0.7404778566430071,0.8593720067571099,0.8162733033336396
Blurry,0.96000631998894,0.9631564394762309,0.9686217546955657,0.9564775742353478,0.5919610231425091,0.7830111065405183,0.6661445075386724,0.3727237125514,0.626865671641791,0.5050411249668346
Brown_Hair,0.8796288981494282,0.8658977346789644,0.9350578040821586,0.917066334313061,0.6915071052104876,0.6753435967170123,0.7474400269217826,0.6685255516561703,0.7183864893899664,0.6719172787011983
Bushy_Eyebrows,0.9267770031402445,0.9092094088835344,0.9547721606864122,0.9277690492850534,0.8241631218790457,0.7562695924764891,0.6178081242201581,0.5351448773048663,0.7062202852614897,0.6267760006495089
Chubby,0.9616505046116169,0.9432583492978888,0.9688960623402498,0.9562203149682071,0.8149523655740352,0.5053921568627451,0.43255056564964006,0.7068906410695921,0.5651419293432619,0.5893954551950836
Double_Chin,0.9653141232002844,0.9601495072383623,0.9708665541196756,0.9601577860938414,0.8551523947750362,0.5695699672261396,0.3110219594594595,0.60546875,0.45614306727568327,0.5869709840847449
Eyeglasses,0.9972103173819445,0.9957488199395651,0.9987899045138451,0.9976899428639858,0.9833371726944636,0.9693776250477282,0.973544169074046,0.9650296487760377,0.978416166864041,0.9671987504285877
Goatee,0.9664349337388659,0.9670521201587897,0.9904022012865101,0.9853879017334093,0.8979371713630848,0.7376596751301057,0.5243681599874026,0.7365561766790016,0.6620936474798688,0.7371075129023361
Gray_Hair,0.9815485947899592,0.9793316611695929,0.9919400998670471,0.9881219610079471,0.8806827245174669,0.8398302420622445,0.6487661574618097,0.627849588719154,0.7471412138845658,0.7185314685314685
Heavy_Makeup,0.9170452076708866,0.908824284557502,0.9818166598713733,0.9760661685413269,0.850914717393283,0.9168205997138928,0.9528978582986151,0.8410350494973818,0.8990233494605885,0.8772941723702572
High_Cheekbones,0.8811743329449173,0.8695416033021942,0.9564338099348562,0.9480633742920617,0.8555443264812828,0.8388649477007889,0.8895003087188709,0.8834992471592448,0.8721919510563043,0.8606037584544122
Male,0.9917593269211779,0.9878093338336658,0.9994946607118174,0.9989435629002836,0.9957891958683733,0.9836565391569468,0.9843698116787629,0.9871211043119397,0.9900465765352068,0.9853857764361182
Mouth_Slightly_Open,0.9402464795686608,0.8839492030888946,0.9864698699639818,0.954869847389362,0.9530434232314816,0.9451833793424874,0.9219459437398606,0.8069871134283586,0.9372368011617052,0.8706353749284489
Mustache,0.966346058894397,0.9640205004641242,0.98238011870743,0.9736579904977292,0.8682745825602969,0.5658220388921626,0.22275107091861018,0.5712755830556878,0.3545454545454545,0.568535733317544
Narrow_Eyes,0.9073775995892007,0.8878893211936879,0.8961560256623673,0.8612892974698083,0.73087790110999,0.5157037998701752,0.31039211484893936,0.44259695736018856,0.43573469694690936,0.47636179143028456
No_Beard,0.9609444433472242,0.9446507218612368,0.9904753011244978,0.9850703536947489,0.9656048601325911,0.9827619932515037,0.9884489424338799,0.9504025726818079,0.9768933706466933,0.9663114492988814
Oval_Face,0.65859715995497,0.7534661189342918,0.7756532422896719,0.7495964710500898,0.4425062086711948,0.684301405343182,0.7700465148569842,0.24762218828103305,0.5620380164556401,0.36365258395462946
Pale_Skin,0.9667163707463512,0.9669237453834456,0.9738555083664041,0.9630136346580094,0.8615101289134438,0.6775907883082374,0.26872702205882354,0.439453125,0.4096680970312637,0.5331381977838177
Pointy_Nose,0.7632423518258843,0.7592479213161377,0.824624045366938,0.7987300030843564,0.7978411609121453,0.7446670135275755,0.19829791770307725,0.2034325918555895,0.3176468914092183,0.31956461066145686
Receding_Hairline,0.9491043390674067,0.9389182943929848,0.9633649867438691,0.9458226091104649,0.8018295816630692,0.7589018755096494,0.48210864594277236,0.3450961003646252,0.6021613276727132,0.4744466629848336
Rosy_Cheeks,0.9364890486441648,0.9500078999861751,0.9664411740644059,0.9575395528577676,0.9608610567514677,0.6732534283554692,0.0368231588420579,0.46760161991900406,0.07092813289996389,0.5518920115069706
Sideburns,0.9738806707088262,0.9632996267256533,0.9920949196510521,0.9893803983182289,0.9246272777471011,0.618757035369394,0.5853871700751617,0.9127774864534173,0.7169003532056085,0.7375445782281699
Smiling,0.9354324254932553,0.9138704007267987,0.9851754590859161,0.9771606200133269,0.9372755417956656,0.8896764372218398,0.9284509461158647,0.9379887754163216,0.9328423744742478,0.9131940643132259
Straight_Hair,0.8628463650188612,0.8447948966089309,0.9108660420446624,0.8854137318191824,0.7356942907362802,0.6765262196712758,0.5348319924278278,0.490889730241363,0.6193856019292429,0.5689484943228567
Wavy_Hair,0.8661643592123713,0.8569115004048743,0.9340351248711223,0.9267554198706414,0.8014928481043072,0.7685954136569103,0.7727757100276443,0.7904125032818026,0.7868723561510277,0.7793513019643674
Wearing_Earrings,0.9101919696640531,0.886966010309482,0.9607475574748723,0.9419143192872136,0.88,0.6687142045206138,0.608416603616061,0.7981163088001252,0.7194311187894306,0.7277074041034789
Wearing_Hat,0.9932109493808385,0.9899225801354847,0.9982062272699926,0.9971194527774501,0.9362346065539553,0.8732777023093343,0.9215202876219826,0.9244992295839753,0.9288191748201067,0.8981587745122499
Wearing_Lipstick,0.9388047320917189,0.9301690597041455,0.9878080269401323,0.9838657254651835,0.9323026227163922,0.9244149798412237,0.9388402500234788,0.9283217330508917,0.9355600153898946,0.9263642374796296
Wearing_Necklace,0.8808583334979164,0.880626271404025,0.867989684671769,0.8489551735135165,0.8762886597938144,0.5312396694214876,0.03750050134360085,0.2578109333012473,0.07192307692307691,0.3471498393324873
Wearing_Necktie,0.9478749037189185,0.9627515651847609,0.9831760765864954,0.9816353341111598,0.9564558058925476,0.7166496792373643,0.298896486358405,0.8092207704285425,0.455459844225512,0.760127186009539
Young,0.9087304722216736,0.8910641281377758,0.9540200914127549,0.9301347648957383,0.9145650283383813,0.9021182822027268,0.9729471064888662,0.9638039941300326,0.9428531680398188,0.9319415010935385
